Fecha de pago,Identificacion- NIT,Nombre Razon Social,Descripcion,Fuente,Valor,Concepto Pago,Ordenes de Pago
29/01/2015,800136069,MUNICIPIO DE FORTUL,SISTEMA GENERAL DE PARTICIPACIONES SALUD PUBLICA DEPARTAMENTO DE ARAUCA,Nación,27047767.0,GIRO SGP SALUD PUBLICA VIG 2014,9207515
29/01/2015,890000464,MUNICIPIO DE ARMENIA,SISTEMA GENERAL DE PARTICIPACIONES SALUD PUBLICA DEPARTAMENTO DE QUINDIO,Nación,130243583.0,GIRO SGP SALUD PUBLICA VIG 2014,9207615
29/01/2015,899999372,MUNICIPIO DE SIBATE,SISTEMA GENERAL DE PARTICIPACIONES SALUD PUBLICA DEPARTAMENTO DE CUNDINAMARCA,Nación,12600367.0,GIRO SGP SALUD PUBLICA VIG 2014,9207715
29/01/2015,890980112,MUNICIPIO DE BELLO,SISTEMA GENERAL DE PARTICIPACIONES SALUD PUBLICA DEPARTAMENTO DE ANTIOQUIA,Nación,214941350.0,GIRO SGP SALUD PUBLICA VIG 2014,9207815
29/01/2015,890985285,MUNICIPIO DE VEGACHI,SISTEMA GENERAL DE PARTICIPACIONES SALUD PUBLICA DEPARTAMENTO DE ANTIOQUIA,Nación,9040907.0,GIRO SGP SALUD PUBLICA VIG 2014,9207915
29/01/2015,890984030,MUNICIPIO DE YOLOMBO ANTIOQUIA,SISTEMA GENERAL DE PARTICIPACIONES SALUD PUBLICA DEPARTAMENTO DE ANTIOQUIA,Nación,16432107.0,GIRO SGP SALUD PUBLICA VIG 2014,9208015
29/01/2015,890680149,MUNICIPIO DE AGUA DE DIOS,SISTEMA GENERAL DE PARTICIPACIONES SALUD PUBLICA DEPARTAMENTO DE CUNDINAMARCA,Nación,5366788.0,GIRO SGP SALUD PUBLICA VIG 2014,9208115
29/01/2015,899999466,MUNICIPIO DE COGUA,SISTEMA GENERAL DE PARTICIPACIONES SALUD PUBLICA DEPARTAMENTO DE CUNDINAMARCA,Nación,6625193.0,GIRO SGP SALUD PUBLICA VIG 2014,9208215
29/01/2015,800113672,GOBIERNO DEPARTAMENTAL DEL TOLIMA,SISTEMA GENERAL DE PARTICIPACIONES SALUD PUBLICA DEPARTAMENTO DE TOLIMA,Nación,660202336.0,GIRO SGP SALUD PUBLICA VIG 2014,9208315
29/01/2015,890480126,SECRETARIA DE SALUD DEPARTAMENTAL DE BOLIVAR,SISTEMA GENERAL DE PARTICIPACIONES SALUD PUBLICA DEPARTAMENTO DE BOLIVAR,Nación,1155163350.0,GIRO SGP SALUD PUBLICA VIG 2014,9208415
29/01/2015,800094701,MUNICIPIO DE GUAYABETAL,SISTEMA GENERAL DE PARTICIPACIONES SALUD PUBLICA DEPARTAMENTO DE CUNDINAMARCA,Nación,4303928.0,GIRO SGP SALUD PUBLICA VIG 2014,9208515
29/01/2015,891855735,MUNICIPIO DE MONGUA,SISTEMA GENERAL DE PARTICIPACIONES SALUD PUBLICA DEPARTAMENTO DE BOYACA,Nación,2958546.0,GIRO SGP SALUD PUBLICA VIG 2014,9208615
29/01/2015,800095568,MUNICIPIO DE UBAQUE,SISTEMA GENERAL DE PARTICIPACIONES SALUD PUBLICA DEPARTAMENTO DE CUNDINAMARCA,Nación,2277527.0,GIRO SGP SALUD PUBLICA VIG 2014,9208715
29/01/2015,800094778,MUNICIPIO DE ZIPACON,SISTEMA GENERAL DE PARTICIPACIONES SALUD PUBLICA DEPARTAMENTO DE CUNDINAMARCA,Nación,2061683.0,GIRO SGP SALUD PUBLICA VIG 2014,9208815
29/01/2015,800004018,MUNICIPIO DE JERUSALEN,SISTEMA GENERAL DE PARTICIPACIONES SALUD PUBLICA DEPARTAMENTO DE CUNDINAMARCA,Nación,2381571.0,GIRO SGP SALUD PUBLICA VIG 2014,9208915
29/01/2015,899999388,MUNICIPIO DE UNE,SISTEMA GENERAL DE PARTICIPACIONES SALUD PUBLICA DEPARTAMENTO DE CUNDINAMARCA,Nación,3156726.0,GIRO SGP SALUD PUBLICA VIG 2014,9209015
29/01/2015,899999467,MUNICIPIO DE CHIPAQUE,SISTEMA GENERAL DE PARTICIPACIONES SALUD PUBLICA DEPARTAMENTO DE CUNDINAMARCA,Nación,3078077.0,GIRO SGP SALUD PUBLICA VIG 2014,9209115
