columna,tipo_dato,porc_nulos,n_unicos,ejemplo
ANO,Int64,0.0,15,2010
ASIS_MED,Int64,0.0,4,1
CAUSA_666,Int64,47.25,71,201
CAUSA_667,Int64,11.15,68,201
CAU_HOMOL,Int64,0.0,105,13
CONS_EXP,Int64,0.0,6,2
C_MUERTE,Int64,85.71,1,1
C_MUERTEB,Int64,30.17,1,1
C_MUERTEC,Int64,88.54,1,1
C_MUERTED,Int64,69.78,1,1
EST_CIVIL,Int64,0.0,7,4
MES,Int64,0.0,12,3
NIVEL_EDU,Int64,0.0,14,13
PMAN_MUER,Int64,47.25,3,1
SEXO,Int64,0.0,3,1
ULTCURFAL,Int64,0.09,15,0
FECHA,datetime64[ns],0.0,180,2010-03-01 00:00:00
GRU_ED2,object,0.0,14,06
NOMBRE_DEPARTAMENTO_OCURRENCIA,object,0.0,34,NO REGISTRA
NOMBRE_MUNICIPIO_OCURRENCIA,object,0.0,1035,NO REGISTRA
ASIS_MED_DESC,string,0.0,4,SÍ
CAUSA_666_DESC,string,0.0,122,Tumor maligno del estómago
CAUSA_667_DESC,string,0.0,59,T. MALIGNO DEL ESTOMAGO
CAU_HOMOL_DESC,string,0.0,105,Tumor maligno del estómago
CONS_EXP_DESC,string,0.0,6,MÉDICO NO TRATANTE
C_BAS1_DESC,string,0.0,5972,
C_DIR1_DESC,string,0.0,2524,SENILIDAD
C_MUERTE_DESC,string,0.0,2,
GRU_ED1_DESC,string,0.0,30,DE 85 A 89 AÑOS
MU_PARTO_DESC,string,0.0,4,
NOMBRE_DEPARTAMENTO,string,0.0,33,Valle Del Cauca
NOMBRE_DEPARTAMENTO_RESIDENCIA,string,0.0,34,Valle Del Cauca
NOMBRE_MUNICIPIO,string,0.0,1036,Palmira
NOMBRE_MUNICIPIO_RESIDENCIA,string,0.0,1038,Palmira
PMAN_MUER_DESC,string,0.0,4,NATURAL
SEXO_DESC,string,0.0,3,MASCULINO
TIPO_EMB_DESC,string,0.0,7,
T_GES_AGRU_CIE_DESC,string,0.0,8,
T_GES_DESC,string,0.0,8,
T_PARTO_DESC,string,0.0,6,
